site,Group,salinity£¨¡ë£©,Ln salinity (¡ë),Ln DOC (mg/L),TN (mg/L),TP (mg/L£©,WT (¡æ),DO,HIX,a254 (m-1),C1 (R.U.),SS (mg/L),Chl.a (¦Ìg/L),NH4,mcrA£¨copies/mL£©,LnmcrA,phnJ£¨copies/mL£©,LnphnJ,CH4_umol_L,Flux_mmol_m2_d,LnCCH4 (nmol/L),LnFCH4 (umol/m2/d)
CWP3,Brackish,8.3,2.116,2.996,3.859,0.077,23,6.70 ,0.752,73.278,0.764,425,24.413,0.084,121864.696,11.711,20108.39,9.909,0.01257157,0.017149301,2.531437915,2.841957442
JLH1,Brackish,0.88,-0.128,1.44,0.894,0.036,21.9,8.09 ,0.587,15.301,0.14,12.4,6.361,0.294,54498.684,10.906,91433.46,11.423,0.012831838,0.00643044,2.551929426,1.86104301
JLH2,Brackish,0.89,-0.117,2.027,1.242,0.035,22,8.43 ,0.66,15.229,0.147,3.2,5.357,0.073,60700.109,11.014,84982.71,11.35,0.014284657,0.003235406,2.659186024,1.174154433
JLH3,Brackish,0.88,-0.128,1.218,0.881,0.036,22,9.08 ,0.706,14.89,0.141,12.6,5.022,0.117,54209.925,10.901,71394.73,11.176,0.014743014,0.004551193,2.690769343,1.515389406
JLH4,Brackish,0.88,-0.128,1.107,0.626,0.032,22,8.39 ,0.678,13.152,0.123,15.2,6.026,0.203,43969.356,10.691,48708.83,10.794,0.01484041,0.011074895,2.697353865,2.404680796
JYH1,Saline,13.03,2.567,2.805,0.736,0.03,12.6,7.27 ,0.372,7.421,0.021,21.4,0,0.196,8524.662,9.051,65796.39,11.094,0.002918336,0.000142578,1.071013591,-1.947863646
JYH2,Saline,13.12,2.574,3.282,1.22,0.026,12.2,8.81 ,0.31,7.123,0.013,36,0.67,0.165,5873.86,8.678,68547.83,11.135,0.002918795,0.000130499,1.07117086,-2.036386998
JYH3,Saline,12.83,2.552,2.55,1.274,0.022,12,7.75 ,0.446,8.186,0.038,59.75,0,0.124,26610.539,10.189,77417.33,11.257,0.002919025,0.000124506,1.071249656,-2.083403781
JYH4,Saline,12.8,2.549,2.435,0.682,0.026,12.4,6.56 ,0.312,6.708,0.013,46.2,0,0.1,7110.213,8.869,29055.34,10.277,0.002998618,0.000169632,1.098151516,-1.774125959
KLKL1,Fresh,0.1,-2.303,0.077,0.001,0.019,13.5,5.93 ,0.497,6.445,0.042,6.7,0.335,0.05,9993.003,9.21,9691.3,9.179,0.101926053,0.028414854,4.62424758,3.346912045
KLKL2,Fresh,0.1,-2.303,0.143,0.001,0.019,13.3,6.60 ,0.449,4.835,0.036,5.4,0.335,0.073,17648.688,9.778,10154.78,9.226,0.101979525,0.028212479,4.624772058,3.33976439
KLKL3,Fresh,0.1,-2.303,0.449,0.001,0.015,14,5.78 ,0.476,4.304,0.035,1.6,0.335,0.07,13140.886,9.483,17619.77,9.777,0.057056585,0.014816524,4.044043495,2.695743063
KLKL4,Fresh,0.1,-2.303,0.092,0.126,0.02,14.1,5.79 ,0.475,4.451,0.034,9.8,0.335,0.096,19276.181,9.867,3411.69,8.135,0.057042727,0.014872341,4.043800584,2.699503188
KLKL5,Fresh,0.1,-2.303,0.013,0.265,0.022,14.2,5.73 ,0.477,4.532,0.035,6.2,0.335,0.109,16369.05,9.703,5713.07,8.651,0.060796405,0.016124742,4.107530659,2.780354841
KLKL6,Fresh,0.1,-2.303,0.378,0.251,0.022,14.6,6.33 ,0.478,4.524,0.035,12.8,0.67,0.075,11310.235,9.333,7054.72,8.861,0.101633289,0.029537839,4.621371129,3.385672119
KNS1,Fresh,0.03,-3.507,0.584,0.157,0.02,15.4,9.74 ,0.385,3.787,0.029,4.52,0.251,0.068,120261.689,11.697,48653.97,10.792,0.008859108,0,2.181446082,-3.829137081
KNS2,Fresh,0.03,-3.507,0.077,0.25,0.018,16.3,9.73 ,0.377,3.839,0.026,4.56,0.167,0.035,21276.97,9.965,2905.13,7.974,0.007801791,0,2.054353323,-3.829137081
KNS3,Fresh,0.03,-3.507,0.372,0.117,0.02,16.4,9.95 ,0.855,2.163,0.019,4.64,0.251,0.052,58436.87,10.976,5180.02,8.553,0.003558812,2.17E-05,1.269426781,-3.829137081
QFQH1,Fresh,0.13,-2.04,0.104,0.696,0.018,19.7,9.92 ,0.687,2.427,0.025,2.8,1.674,0.083,48114.389,10.781,8797.17,9.082,0.083167697,0.008093115,4.420859015,2.09101366
QFQH2,Fresh,0.13,-2.04,0.411,0.786,0.02,20.1,10.49 ,0.458,2.091,0.01,1.2,1.841,0.142,42355.477,10.654,12002.8,9.393,0.091856941,0.000935623,4.520232378,-0.066542331
QFQH3,Fresh,0.13,-2.04,0.305,0.489,0.021,20.1,9.23 ,0.932,2.824,0.017,3.4,1.507,0.098,79498.358,11.283,16028.53,9.682,0.034618165,0.000332568,3.544378544,-1.100910809
QFQH4,Fresh,0.13,-2.04,0.623,0.754,0.018,19.7,10.02 ,0.662,3.013,0.021,4.2,2.009,0.1,111544.374,11.622,54088.45,10.898,0.050522279,0.001538283,3.922414407,0.430666785
QLSK1,Fresh,0.26,-1.347,2.383,0.229,0.025,27.9,6.29 ,0.686,5.809,0.079,15.2,1.674,0.04,29799.628,10.302,28645.9,10.263,0.025399572,0.023084625,3.234732323,3.139166831
QLSK2,Fresh,0.25,-1.386,2.325,0.831,0.022,27.2,7.35 ,0.689,4.79,0.07,18,2.344,0.092,38900.149,10.569,60651,11.013,0.052890298,0.049933678,3.968219919,3.910695692
QLSK3,Fresh,0.26,-1.347,2.64,0.531,0.027,27.5,6.68 ,0.634,5.032,0.06,5.2,1.339,0.083,23345.046,10.058,50600.99,10.832,0.110547858,0.108537932,4.705448531,4.687099711
QLSK4,Fresh,0.27,-1.309,2.305,0.299,0.025,25.9,7.12 ,0.482,6.305,0.065,3.5,1.172,0.068,27514.904,10.222,53958.98,10.896,0.205974747,0.194202563,5.327753574,5.268901755
QLSK5,Fresh,0.26,-1.347,2.732,0.325,0.024,26.5,8.18 ,0.637,5.948,0.068,13.2,2.678,0.045,50552.436,10.831,105972.23,11.571,0.544274537,0.527785295,6.299453783,6.268689562
SBST1,Fresh,0.23,-1.47,3.233,1.537,0.042,25,5.75 ,0.684,31.036,0.311,10,2.009,0.116,40450.444,10.608,11631.17,9.361,1.487102338,1.832826747,7.304584766,7.513614724
SBST2,Fresh,0.15,-1.897,3.058,0.493,0.028,25.5,5.53 ,0.701,17.945,0.202,1,2.009,0.208,56872.712,10.949,84454.4,11.344,1.653681923,2.063119187,7.410759549,7.631974285
SBST3,Fresh,0.13,-2.04,2.841,0.89,0.051,22.3,3.82 ,0.815,13.032,0.194,2.6,1.339,0.106,15332.036,9.638,20546.83,9.93,1.427515546,1.651293571,7.263690832,7.409314242
SBST4,Fresh,0.17,-1.772,2.589,0.588,0.044,24.9,6.03 ,0.768,20.172,0.23,3.2,2.678,0.083,46392.978,10.745,116680.92,11.667,1.275703983,1.567802793,7.151253449,7.357430424
SBST5,Fresh,0.13,-2.04,2.147,0.945,0.065,22,8.95 ,0.818,13.067,0.169,5,2.344,0.1,53194.845,10.882,17130.68,9.749,0.375545018,0.427468925,5.928378352,6.057881595
SLM1,Brackish,1.84,0.61,1.124,0.916,0.031,14.3,8.69 ,0.569,5.143,0.067,44,0.335,0.047,30026.462,10.31,41486.12,10.633,0.026184921,0.153850869,3.265183711,5.035983751
SLM2,Brackish,1.79,0.582,1.726,1.008,0.059,14.3,10.23 ,0.75,9.416,0.129,20.6,1.339,0.158,133395.775,11.801,267350.13,12.496,0.029984935,0.120787985,3.400695089,4.794036817
SLM3,Brackish,1.84,0.61,1.432,0.732,0.029,15.5,8.59 ,0.802,20.3,0.257,16.6,0.335,0.114,22786.266,10.034,25532.97,10.148,0.032722217,0.106094237,3.488054266,4.66432773
SLM4,Brackish,1.29,0.255,1.175,1.023,0.021,13.8,10.48 ,0.535,5.427,0.056,5,2.009,0.072,23777.102,10.076,12652.6,9.446,0.03208331,0.114328736,3.468335957,4.739077951
SLM5,Brackish,1.43,0.358,0.75,1.043,0.024,8.1,13.30 ,0.541,3.081,0.035,2.7,0.837,0.11,42948.356,10.668,25539.74,10.148,0.097470978,0.131594155,4.579554672,4.879722601
SLM6,Brackish,1.84,0.61,1.204,0.623,0.023,11.1,10.98 ,0.508,3.401,0.03,8.2,2.009,0.046,28492.726,10.257,10540.15,9.263,0.055372896,0.214637983,4.014090232,5.368952811
TTM1,Saline,13.46,2.6,3.26,1.354,0.038,20.3,6.26 ,0.574,41.322,0.27,33.8,2.344,0.35,36490.338,10.505,219242.66,12.298,0.027280915,0.01216004,3.306187373,2.498155147
TTM2,Saline,10.36,2.338,3.221,2.372,0.055,24.4,5.36 ,0.614,35.971,0.299,33.6,3.348,0.151,58494.674,10.977,489544.84,13.101,0.142364028,0.079444784,4.958387355,4.375062245
TTM3,Brackish,4.77,1.562,2.784,1.269,0.032,23.9,4.86 ,0.535,18.963,0.146,15,2.009,0.119,76332.866,11.243,174295.87,12.069,0.049224693,0.026007326,3.896395388,3.258378286
TTM4,Brackish,5.36,1.679,3.047,0.95,0.031,24.4,5.13 ,0.628,25.076,0.221,7.8,2.678,0.086,52693.304,10.872,132364.16,11.793,0.05426965,0.029298349,3.993965139,3.377531179
TTM5,Brackish,4.86,1.581,2.827,1.186,0.032,25.3,7.17 ,0.518,22.398,0.154,32.2,2.009,0.125,51219.18,10.844,113403.84,11.639,0.029953456,0.015922083,3.39964471,2.767706992
TTM6,Brackish,3.65,1.295,2.523,0.791,0.023,24.6,7.47 ,0.572,19.435,0.142,18.2,3.013,0.098,40437.979,10.608,123554.84,11.724,0.043003575,0.023033325,3.761283252,3.136942101
WLG1,Brackish,1.93,0.658,1.943,1.093,0.028,22.1,10.45 ,0.55,14.459,0.067,17,2.046,0.063,136991.632,11.828,152069.88,11.932,0.006823121,0.000813888,1.920316992,-0.205932093
WLG3,Brackish,1.93,0.658,2.142,0.914,0.031,22.5,12.27 ,0.53,7.599,0.036,5.778,3.162,0.171,88149.97,11.387,260931.41,12.472,0.009106003,0.000678027,2.208933866,-0.388568319
WLG4,Brackish,1.95,0.668,2.187,1.12,0.03,22.1,11.54 ,0.575,15.895,0.078,4.778,2.976,0.099,92520.334,11.435,414284.72,12.934,0.015243727,0.000428608,2.724168074,-0.847212378
WLG5,Brackish,1.93,0.658,2.229,0.775,0.027,22.4,12.11 ,0.545,13.958,0.059,8.4,2.176,0.052,58221.885,10.972,173458.2,12.064,0.007305206,0.001487706,1.988587245,0.397235113
WLG6,Brackish,1.92,0.652,2.237,0.877,0.026,22.6,9.82 ,0.492,13.385,0.054,7.889,1.86,0.081,30908.408,10.339,236809.56,12.375,0.004972664,0.000559584,1.603955713,-0.580562338
WLG8,Brackish,1.92,0.652,2.202,0.894,0.03,23,9.48 ,0.55,13.73,0.059,9.222,3.534,0.073,60425.697,11.009,211339.35,12.261,0.005994939,0.00011013,1.790915613,-2.206093426
XEKL1,Saline,141.28,4.951,2.958,11.124,0.043,26.1,1.84 ,0.65,31.736,0.147,818.8,6.696,3.075,136657.827,11.825,676627.46,13.425,0.003475362,0.000489689,1.245698646,-0.713983785
XEKL2,Saline,141.66,4.953,3.774,6.35,0.043,26.3,1.97 ,0.68,31.509,0.123,406.4,2.344,2.86,176993.952,12.084,734168.9,13.506,0.003484855,0.000501228,1.248426436,-0.690695101
XEKL3,Saline,141.33,4.951,3.812,6.471,0.043,25.9,2.14 ,0.653,31.709,0.141,389.6,1.674,3.16,219234.191,12.298,686779.98,13.44,0.00347604,0.000482975,1.245893715,-0.727790612
XEKL4,Saline,140.84,4.948,3.846,7.162,0.027,27.1,1.72 ,0.652,32.135,0.136,811.2,4.018,2.77,306871.528,12.634,967286.76,13.782,0.004729049,0.001129564,1.553724125,0.121831473
XEKL5,Saline,141.51,4.952,3.887,11.302,0.054,26,1.78 ,0.663,31.209,0.122,751.2,2.678,2.9,297953.949,12.605,850408.86,13.653,0.003282066,0.000396324,1.188473102,-0.925524309
XHZ1,Fresh,0.17,-1.772,2.818,0.258,0.022,24,6.47 ,0.463,5.942,0.057,3.9,0.837,0.053,18952.239,9.85,18550.72,9.828,0.009906824,0.003291779,2.293223813,1.19142828
XHZ2,Fresh,0.17,-1.772,2.592,0.001,0.021,24.2,6.05 ,0.675,5.302,0.059,2.8,0.67,0.077,60634.874,11.013,124481.29,11.732,0.012399562,0.004514161,2.517661149,1.507219256
XHZ3,Fresh,0.17,-1.772,2.601,0.2,0.022,24.6,6.15 ,0.604,5.438,0.062,9.6,1.004,0.062,30883.243,10.338,59514.25,10.994,0.017121279,0.006875991,2.840322076,1.928035843
XHZ4,Fresh,0.18,-1.715,2.573,0.157,0.021,24.9,6.12 ,0.479,6.836,0.069,7.9,1.004,0.177,87037.936,11.374,247403.08,12.419,0.014540256,0.005681927,2.676921079,1.737290491
XHZ5,Fresh,0.17,-1.772,2.91,0.635,0.02,24.9,5.78 ,0.685,5.401,0.068,5.8,0.67,0.097,89299.342,11.4,193868.68,12.175,0.012629238,0.004744338,2.536014602,1.556951907
,,,,,,,,,,,,,,,,,,,,,,
